Unique Users,User Type,Cycles
ABC128,Others,5
ABC129,IT,4
ABC136,Faculty,3
ABC155,,10
ABC135,Staff,8
ABC144,Staff,2
ABC163,Others,1
ABC157,Others,2
ABC168,,1
ABC164,Student,1
ABC167,,2
ABC172,IT,4
ABC125,,4
ABC162,,3
ABC191,Student,2
ABC193,Student,1
ABC185,Others,3
ABC195,Student,10
ABC130,Faculty,11
ABC171,Faculty,9
ABC133,Faculty,3
ABC207,Student,1
ABC140,Student,3
ABC143,Faculty,2
ABC138,Student,12
ABC223,IT,7
ABC228,Staff,1
ABC213,IT,3
ABC235,Student,4
ABC175,Others,6
ABC176,IT,5
ABC242,Others,3
ABC169,,2
ABC256,Student,8
ABC258,,4
ABC251,,3
ABC252,,1
ABC206,IT,1
ABC268,Staff,21
ABC277,,66
ABC291,Others,1
ABC274,IT,30
ABC285,Student,1
ABC246,,1
ABC302,Faculty,8
ABC293,Student,3
ABC331,IT,1
ABC350,Others,2
ABC320,,5
ABC306,Staff,1
ABC273,IT,3
ABC326,Faculty,1
ABC310,Staff,9
ABC338,Faculty,6
ABC308,IT,5
ABC357,Others,1
ABC365,,1
ABC325,Student,4
ABC272,IT,5
ABC271,IT,16
ABC270,Others,22
ABC276,IT,11
ABC232,Student,4
ABC384,Others,2
ABC290,Student,20
ABC134,Faculty,1
ABC390,Staff,1
ABC402,IT,10
ABC383,Others,1
ABC399,IT,7
ABC420,Others,2
ABC393,Faculty,3
ABC425,Faculty,1
ABC388,Faculty,18
ABC405,Others,4
ABC222,Faculty,1
ABC215,,6
ABC406,,13
ABC422,Faculty,4
ABC378,Staff,2
ABC408,Student,40
ABC435,,1
ABC429,Others,2
ABC442,,2
ABC368,Faculty,13
ABC460,Staff,1
ABC139,,2
ABC392,Student,4
ABC462,Staff,1
ABC436,Student,2
ABC449,Staff,4
ABC474,Others,1
ABC479,Staff,12
ABC288,Faculty,1
ABC469,Faculty,5
ABC482,,5
ABC475,Others,5
ABC212,,2
ABC476,IT,6
ABC492,Staff,2
ABC487,IT,12
ABC484,IT,3
ABC231,Others,2
ABC454,Staff,11
ABC504,IT,2
ABC304,IT,1
ABC503,,2
ABC519,Others,1
ABC514,Faculty,1
ABC508,Staff,1
ABC283,IT,8
ABC335,IT,3
ABC481,Staff,7
ABC289,Staff,4
ABC520,Faculty,1
ABC332,Student,2
ABC427,Staff,4
ABC515,,1
ABC534,Staff,1
ABC468,Staff,2
ABC548,Faculty,1
ABC243,Others,8
ABC506,Staff,1
ABC549,Student,1
ABC361,Faculty,1
ABC542,Staff,2
ABC552,Student,1
ABC351,Staff,8
ABC517,IT,9
ABC165,IT,1
ABC555,,2
ABC159,,11
ABC573,,1
ABC586,Others,2
ABC387,Faculty,4
ABC577,Staff,4
ABC543,Faculty,4
ABC181,IT,2
ABC535,Others,3
ABC448,Others,1
ABC238,Staff,1
ABC439,Staff,2
ABC563,,1
ABC633,Staff,2
ABC433,IT,15
ABC416,IT,33
ABC558,Student,1
ABC641,Faculty,2
ABC203,Staff,1
ABC248,Others,6
ABC187,Staff,5
ABC598,Faculty,3
ABC526,Faculty,4
ABC259,IT,2
ABC659,Others,1
ABC648,Student,2
ABC208,Student,1
ABC447,Student,1
ABC679,,1
ABC681,Others,2
ABC632,Faculty,1
ABC397,Others,3
ABC661,Student,4
ABC694,Staff,1
ABC584,Student,1
ABC616,Others,2
ABC530,Staff,2
ABC294,Student,2
ABC719,Staff,8
ABC705,,6
ABC723,Others,1
ABC424,Faculty,1
ABC728,Faculty,1
ABC680,Others,1
ABC711,IT,1
ABC730,Student,1
ABC709,Others,2
ABC245,Others,18
ABC736,,4
ABC739,Student,10
ABC729,Others,2
ABC124,,6
ABC747,Faculty,7
ABC565,Staff,1
ABC751,Staff,3
ABC609,Others,12
ABC768,Staff,4
ABC493,Student,6
ABC771,Faculty,2
ABC773,Faculty,20
ABC752,Faculty,1
ABC757,IT,2
ABC554,Staff,4
ABC762,Staff,2
ABC457,Others,2
ABC197,,2
